FLAG,Time Diff between first and last (Mins),max value received ,total ether balance,total tnx,avg total val
0,704785.63,45.806785,-279.2244185,810,7.7901940000000005
0,1218216.73,2.613269,-0.001818811,102,0.418529
0,516729.3,1.165453,0.000441,12,2.153214
0,397555.9,500.0,-854.6463028999998,34,169.490674
0,382472.42,12.802411,-50.89698629,4618,2.6937830000000003
0,20926.68,4.813776,0.001008,5,8.086766
0,8660.35,2.65,0.016871896,36,1.580611
0,319828.05,2.0,-4.2479024160000005,218,0.931959
0,496.62,2.0,0.00062,2,3.99938
0,30572.7,40.0,-98.977,11,35.334625
0,129540.15,1.014875,0.007636018,20,2.0088739999999996
0,385961.98,81.38600000000002,0.004047714,254,107.356188
0,198900.25,1.002069,12.30665958,16,0.769166
0,78197.58,0.265159,0.097217423,9,0.217642
0,540061.9,1499.9995800000004,-1422.982347,56,179.437414
0,25802.32,1.0,0.086741405,37,0.5748829999999999
0,280803.43,0.277689,0.023940002,114,0.407606
0,842599.05,34.94,-75.09543387,37,26.461111000000002
0,2318.5,19.995,0.001323,5,23.138726
0,329.78,56.95111800000001,0.001026218,4,100.999487
0,113840.02,12.782766,101.9235724,18,5.662421
0,292841.02,17.949074,-98.24164672,14,30.849007000000007
0,712.88,5.0,0.002245057,9,3.9370510000000003
0,892782.2,0.501254,33.07587621,134,1.605166
0,226778.27,11.291416,82.62366163,17,4.860215
0,30.65,4.999,0.00126,2,9.996739999999999
0,330187.83,30.0,-27.341,85,12.426923
0,68.87,0.5476489999999999,0.00126,2,1.0940379999999998
0,338429.65,2.337156,-3.882478376,7,3.6172940000000002
0,955278.0,1100.0,-188.368881,73,211.03190999999998
0,291427.53,1.002204,26.75944516,53,0.504895
0,561789.58,20.799,0.00761642,21,10.732631999999999
0,2257.12,1.7479810000000002,1.74798122,3,1.7479810000000002
0,22889.93,0.1,0.039265736,12,0.086073
0,449889.15,22.0,1123.399095,694,1.618731
0,450106.65,3140.99958,-2891.354427,8959,112.46853800000001
0,4.87,0.003,0.003,2,0.003
0,636162.82,3.602495,0.03299662,4443,68.979126
0,345142.02,3.508474,-5.467189299999999,7,5.07962
0,21206.93,20.0,44.0,10000,11.0
0,160707.1,49.995,0.952613114,12,25.223042999999997
0,802574.4,45.4,-88.86,21,42.25269200000001
0,339687.12,1.515068,-8.166350999999999,9,5.388941
0,355017.02,51.0,-17.34361821,39,12.111289
0,328.45,101.0,0.001026218,3,151.499487
0,13445.97,10.0,0.003489099,12,5.230447
0,340383.53,6.995,-6.9114960000000005,5,9.289081
0,266825.07,4.0,-1.6564050330000002,15,2.432969
0,204236.48,799.99874,-10.64504551,4024,34.012536
0,286279.03,174.995,-398.775,17,122.60166700000002
0,1169229.5,972.434,-629.3501786,48,268.265399
0,186707.1,10.0,-91.51193767,9,22.688992
0,962956.75,117.7,-34.0981,321,7.296074000000001
0,97419.95,99.99,-66.3030896,58,32.56887
0,754216.92,12867.39971,-3743.443847,10000,65.226012
0,652.87,1.3,0.002762225,12,2.094855
0,24534.25,0.34,0.0013463879999999,6,0.293551
0,4486.98,6.12616,0.00536902,7,4.805895
0,2.5,0.8548709999999999,0.00105,2,1.7086919999999999
0,8873.97,0.134989,0.00042,2,0.26955799999999996
0,242427.3,0.125315,0.05797088,34,0.098302
0,531093.05,27.48646,42.06374870000001,15,7.1578800000000005
0,93911.63,379.0,0.090278633,31,88.032737
0,414518.23,1.169147,-1.622766947,17,0.691811
0,1040169.4,2.1578880000000003,50.00667943,1054,6.941135999999999
0,240610.1,69.995,-3.670073533,130,13.417182
0,10032.05,10.805,0.001907957,6,10.562698
0,120621.38,0.669937,0.0048509999999999,9,0.38917599999999997
0,28803.42,12.0,0.000441,2,23.999558999999998
0,294616.95,20.0,-19.90586873,5,23.301956
0,8.92,1897.438127,0.001886545,6,1500.749528
0,9299.17,2.1609830000000003,0.012708609,52,4.411512
0,321695.25,23.601366,-17.96892874,13,26.689622999999997
0,161076.67,27.517666,0.004221,11,25.119476
0,620113.1,44.425356,-14.6304328,174,11.450185000000001
0,101238.1,8.995,0.025560232,33,6.464649
0,674198.88,20.095,-50.42288815,32,11.591346
